cand_id,name,transaction_amt
H0VA080402012,58,58
H0VA080402014,32,32
H0VA081492012,11,11
H0VA090552012,56,56
H0VA090552014,20,20
H0VA101452014,3,3
H0WA020802012,10,10
H0WA020802014,8,8
H0WA031612012,56,56
H0WA031612014,28,28
H0WA080462012,116,116
H0WA080462014,76,76
H0WA090442012,6,6
H0WI040902012,2,2
H0WI060612012,4,4
H0WI070512012,110,110
H0WI070512014,114,114
H0WI080752012,96,96
H0WI080752014,36,36
H0WV010722012,74,74
H0WV010722014,38,38
H0WV021382012,162,162
H2AL010772012,22,22
H2AL010772014,2,2
H2AL030322012,26,26
H2AL030322014,38,38
H2AL060352012,38,38
H2AR010712012,2,2
H2AR040832012,236,236
H2AR040832014,1516,1516
H2AZ020552012,8,8
H2AZ070702012,22,22
H2AZ070702014,8,8
H2AZ080942012,104,104
H2AZ080942014,180,180
H2AZ081022012,200,200
H2AZ081022014,480,480
H2AZ090192012,86,86
H2AZ090192014,78,78
H2AZ090352012,10,10
H2AZ090352014,174,174
H2CA001042012,62,62
H2CA001042014,24,24
H2CA001202012,116,116
H2CA001202014,148,148
H2CA021422012,36,36
H2CA021422014,22,22
H2CA062592014,52,52
H2CA081642012,52,52
H2CA081642014,36,36
H2CA101452012,90,90
H2CA111352012,342,342
H2CA111352014,8,8
H2CA130992012,2,2
H2CA150942012,76,76
H2CA150942014,88,88
H2CA160922012,76,76
H2CA161002014,27,27
H2CA200942012,56,56
H2CA200942014,118,118
H2CA221402012,30,30
H2CA231062012,314,314
H2CA231142014,22,22
H2CA250362012,84,84
H2CA250362014,24,24
H2CA251432012,8,8
H2CA251432014,12,12
H2CA260262012,550,550
H2CA261092012,276,276
H2CA261092014,178,178
H2CA271982012,8,8
H2CA271982014,7,7
H2CA281132012,44,44
H2CA281132014,84,84
H2CA301432012,72,72
H2CA301432014,64,64
H2CA311252012,68,68
H2CA311252014,114,114
H2CA311332012,38,38
H2CA311332014,2,2
H2CA330482012,10,10
H2CA330482014,6,6
H2CA331472012,96,96
H2CA351182012,24,24
H2CA364392012,100,100
H2CA364392014,228,228
H2CA370232012,38,38
H2CA370232014,62,62
H2CA390782012,42,42
H2CA390782014,12,12
H2CA391362012,60,60
H2CA391362014,4,4
H2CA411162012,2,2
H2CA432452012,46,46
H2CA432452014,86,86
H2CA433772012,188,188
H2CA461072012,16,16
H2CA461072014,4,4
H2CA471052012,202,202
H2CA480872012,94,94
H2CA500262012,46,46
H2CA500262014,18,18
H2CA520892012,69,69
H2CA520892014,155,155
H2CO021482012,24,24
H2CO031382012,52,52
H2CO031462012,2,2
H2CO040942012,18,18
H2CO050592012,12,12
H2CO061232012,46,46
H2CO061492012,16,16
H2CO071212012,112,112
H2CT011632012,10,10
H2CT011892014,1,1
H2CT021122012,18,18
H2CT021122014,12,12
H2CT021462012,6,6
H2CT021462014,2,2
H2CT040682012,286,286
H2CT040682014,4,4
H2CT051312012,134,134
H2CT051312014,196,196
H2CT051802012,10,10
H2CT052062012,134,134
H2DE001302012,4,4
H2FL002922012,100,100
H2FL002922014,54,54
H2FL011002012,36,36
H2FL011002014,8,8
H2FL011912012,2,2
H2FL030562012,28,28
H2FL030562014,32,32
H2FL041122012,6,6
H2FL061092012,22,22
H2FL061092014,34,34
H2FL080552012,44,44
H2FL080552014,14,14
H2FL080632012,32,32
H2FL080712012,2,2
H2FL101502012,16,16
H2FL101502014,10,10
H2FL110912012,6,6
H2FL131882012,70,70
H2FL140532012,266,266
H2FL140532014,130,130
H2FL141942012,90,90
H2FL141942014,14,14
H2FL201002012,4,4
H2FL220722012,398,398
H2FL220722014,508,508
H2FL220982012,226,226
H2FL230212012,16,16
H2FL230212014,14,14
H2FL250182012,20,20
H2FL250182014,22,22
H2FL260652012,6,6
H2GA011572012,6,6
H2GA011572014,26,26
H2GA020312012,20,20
H2GA020312014,46,46
H2GA061072014,2,2
H2GA061152012,2,2
H2GA091502012,4,4
H2GA091502014,24,24
H2GA111492012,84,84
H2GA111492014,92,92
H2GA121052012,20,20
H2GA121212014,104,104
H2GA130122012,4,4
H2GA130122014,4,4
H2HI021102012,42,42
H2HI021102014,112,112
H2HI025082012,54,54
H2HI025082014,82,82
H2IA010552014,59,59
H2IA020532012,100,100
H2IA041172012,172,172
H2IA050722012,206,206
H2IA050722014,114,114
H2ID011012012,2,2
H2ID021332012,22,22
H2IL010422012,4,4
H2IL021492012,6,6
H2IL021722014,10,10
H2IL041452012,2,2
H2IL060582012,22,22
H2IL080392012,6,6
H2IL080392014,2,2
H2IL091102012,2,2
H2IL100682012,524,524
H2IL100682014,688,688
H2IL120982012,66,66
H2IL120982014,2,2
H2IL121222012,80,80
H2IL121222014,136,136
H2IL121302012,2,2
H2IL131202012,146,146
H2IL131202014,176,176
H2IL140782012,2,2
H2IL140782014,4,4
H2IL160572012,4,4
H2IL170712012,70,70
H2IL170712014,100,100
H2IL200422012,10,10
H2IL200422014,6,6
H2IN011232012,4,4
H2IN022042012,11,11
H2IN050822012,108,108
H2IN050822014,92,92
H2IN050902012,14,14
H2IN062132012,6,6
