cand_id,name,transaction_amt
H0TN062572012,130,130
H0TN062572014,88,88
H0TN082462012,270,270
H0TN082462014,190,190
H0TN082872012,18,18
H0TN090612014,1,1
H0TX040372012,82,82
H0TX040372014,18,18
H0TX060652014,7,7
H0TX070552012,238,238
H0TX070552014,196,196
H0TX121472014,23,23
H0TX171042012,206,206
H0TX171042014,364,364
H0TX230862014,380,380
H0TX270612012,340,340
H0TX270612014,582,582
H0UT020962012,396,396
H0UT020962014,4,4
H0VA020842012,738,738
H0VA020842014,420,420
H0VA050952012,884,884
H0VA050952014,372,372
H0VA070422012,1072,1072
H0VA070422014,1556,1556
H0VA080402012,224,224
H0VA080402014,60,60
H0VA081492012,139,139
H0VA090552012,394,394
H0VA090552014,128,128
H0VA101452014,15,15
H0WA020802012,158,158
H0WA020802014,128,128
H0WA031612012,542,542
H0WA031612014,338,338
H0WA080462012,850,850
H0WA080462014,478,478
H0WA090442012,86,86
H0WI020602012,38,38
H0WI040902012,8,8
H0WI040902014,4,4
H0WI060612012,44,44
H0WI061522012,4,4
H0WI070512012,538,538
H0WI070512014,482,482
H0WI080752012,490,490
H0WI080752014,178,178
H0WV010722012,594,594
H0WV010722014,496,496
H0WV021382012,660,660
H2AL010772012,266,266
H2AL010772014,2,2
H2AL030322012,316,316
H2AL030322014,246,246
H2AL050942012,28,28
H2AL060352012,328,328
H2AL061422012,36,36
H2AR010712012,372,372
H2AR010712014,2,2
H2AR020532012,150,150
H2AR040832012,1142,1142
H2AR040832014,6622,6622
H2AR041092012,30,30
H2AZ020552012,42,42
H2AZ031452012,2,2
H2AZ041432014,8,8
H2AZ051322014,2,2
H2AZ061712012,2,2
H2AZ070702012,104,104
H2AZ070702014,70,70
H2AZ080942012,1236,1236
H2AZ080942014,1700,1700
H2AZ081022012,804,804
H2AZ081022014,2732,2732
H2AZ090192012,884,884
H2AZ090192014,1038,1038
H2AZ090352012,16,16
H2AZ090352014,446,446
H2CA001042012,438,438
H2CA001042014,152,152
H2CA001202012,1858,1858
H2CA001202014,1450,1450
H2CA021422012,270,270
H2CA021422014,106,106
H2CA041142012,26,26
H2CA050952012,1,1
H2CA062592014,230,230
H2CA081642012,216,216
H2CA081642014,152,152
H2CA101452012,942,942
H2CA111352012,1886,1886
H2CA111352014,8,8
H2CA130992012,40,40
H2CA141392012,40,40
H2CA150942012,710,710
H2CA150942014,342,342
H2CA160922012,476,476
H2CA161002014,180,180
H2CA170902012,6,6
H2CA170902014,6,6
H2CA191122012,16,16
H2CA200942012,408,408
H2CA200942014,1006,1006
H2CA221402012,254,254
H2CA221402014,2,2
H2CA231062012,966,966
H2CA231142014,240,240
H2CA231222012,62,62
H2CA250362012,468,468
H2CA250362014,24,24
H2CA251432012,326,326
H2CA251432014,44,44
H2CA260262012,1538,1538
H2CA261092012,912,912
H2CA261092014,508,508
H2CA271982012,68,68
H2CA271982014,71,71
H2CA281132012,156,156
H2CA281132014,286,286
H2CA301432012,266,266
H2CA301432014,240,240
H2CA311252012,78,78
H2CA311252014,788,788
H2CA311332012,154,154
H2CA311332014,8,8
H2CA330482012,84,84
H2CA330482014,126,126
H2CA331472012,348,348
H2CA351182012,78,78
H2CA351182014,2,2
H2CA364392012,1268,1268
H2CA364392014,1422,1422
H2CA370232012,290,290
H2CA370232014,246,246
H2CA382372012,2,2
H2CA382372014,4,4
H2CA390782012,76,76
H2CA390782014,96,96
H2CA391362012,420,420
H2CA391362014,4,4
H2CA411162012,100,100
H2CA432452012,724,724
H2CA432452014,554,554
H2CA433772012,528,528
H2CA433852012,2,2
H2CA461072012,138,138
H2CA461072014,4,4
H2CA471052012,786,786
H2CA480872012,320,320
H2CA480872014,2,2
H2CA480952012,2,2
H2CA492182012,120,120
H2CA500262012,194,194
H2CA500262014,40,40
H2CA501662014,10,10
H2CA520892012,445,445
H2CA520892014,786,786
H2CO011242012,16,16
H2CO021482012,258,258
H2CO031382012,1192,1192
H2CO031462012,50,50
H2CO031462014,18,18
H2CO040942012,482,482
H2CO041022012,2,2
H2CO050592012,228,228
H2CO050592014,2,2
H2CO061232012,1062,1062
H2CO061232014,8,8
H2CO061492012,34,34
H2CO071212012,1010,1010
H2CT011632012,76,76
H2CT011892014,14,14
H2CT021122012,604,604
H2CT021122014,496,496
H2CT021462012,72,72
H2CT021462014,4,4
H2CT040682012,1320,1320
H2CT040682014,18,18
H2CT051312012,824,824
H2CT051312014,1308,1308
H2CT051802012,50,50
H2CT052062012,732,732
H2DE001302012,34,34
H2FL002922012,348,348
H2FL002922014,88,88
H2FL003002012,1,1
H2FL003002014,10,10
H2FL011002012,140,140
H2FL011002014,36,36
H2FL011912012,22,22
H2FL030562012,48,48
H2FL030562014,46,46
H2FL031302012,4,4
H2FL041122012,18,18
H2FL061092012,244,244
H2FL061092014,68,68
H2FL071232012,10,10
H2FL080552012,170,170
H2FL080552014,38,38
H2FL080632012,676,676
H2FL080712012,4,4
H2FL091032012,8,8
H2FL101502012,258,258
H2FL101502014,16,16
H2FL110912012,74,74
H2FL131882012,652,652
H2FL140532012,982,982
H2FL140532014,218,218
H2FL141942012,220,220
H2FL141942014,14,14
H2FL201002012,98,98
H2FL220722012,1466,1466
H2FL220722014,1138,1138
H2FL220982012,806,806
H2FL220982014,2,2
H2FL230212012,48,48
H2FL230212014,70,70
H2FL250182012,36,36
H2FL250182014,52,52
H2FL260652012,18,18
H2FL280122012,2,2
H2FL280122014,2,2
H2GA011572012,146,146
H2GA011572014,30,30
H2GA020312012,180,180
H2GA020312014,300,300
H2GA021142012,2,2
H2GA021142014,4,4
H2GA041442012,18,18
H2GA051332012,2,2
H2GA061072014,2,2
H2GA061152012,8,8
H2GA070972012,20,20
H2GA091502012,70,70
H2GA091502014,174,174
H2GA092002012,72,72
H2GA111492012,276,276
H2GA111492014,124,124
H2GA112062012,4,4
H2GA121052012,204,204
H2GA121212014,900,900
H2GA130122012,100,100
H2GA130122014,54,54
H2HI021102012,316,316
H2HI021102014,280,280
H2HI025082012,310,310
H2HI025082014,206,206
H2IA010552014,302,302
H2IA020532012,728,728
H2IA041172012,1466,1466
H2IA050722012,1890,1890
H2IA050722014,1128,1128
H2ID011012012,26,26
H2ID020182014,47,47
H2ID021332012,344,344
H2IL010422012,22,22
H2IL010422014,4,4
H2IL011662012,64,64
H2IL021492012,20,20
H2IL021722014,222,222
H2IL031212012,5,5
H2IL041452012,7,7
H2IL051832012,18,18
H2IL051832014,12,12
H2IL060582012,440,440
H2IL080392012,8,8
H2IL080392014,10,10
H2IL091102012,46,46
H2IL091102014,2,2
H2IL100682012,5948,5948
H2IL100682014,6772,6772
H2IL120982012,888,888
H2IL120982014,2,2
H2IL121222012,1180,1180
H2IL121222014,1676,1676
H2IL121302012,8,8
H2IL121302014,4,4
H2IL131202012,1294,1294
H2IL131202014,1052,1052
H2IL131382012,62,62
H2IL140782012,16,16
H2IL140782014,30,30
H2IL160572012,38,38
H2IL170712012,1954,1954
H2IL170712014,1952,1952
H2IL200422012,162,162
H2IL200422014,170,170
H2IN011232012,24,24
H2IN011232014,4,4
H2IN022042012,412,412
H2IN041352012,38,38
H2IN050822012,788,788
H2IN050822014,664,664
H2IN050902012,326,326
H2IN062132012,36,36
H2IN062132014,8,8
H2IN062392014,29,29
H2IN062702012,1,1
H2IN070882014,1,1
H2IN080942012,258,258
H2IN091672012,440,440
H2KS021192012,244,244
H2KY021172012,2,2
H2KY041212012,270,270
H2KY041212014,84,84
H2KY041392012,49,49
H2LA010752012,18,18
H2LA021152012,4,4
H2LA050842012,348,348
H2LA050842014,16,16
H2MA000142012,796,796
H2MA000142014,478,478
H2MA040732012,1382,1382
H2MA040732014,474,474
H2MA060782012,8,8
H2MA080662012,18,18
H2MA090722012,30,30
H2MA090722014,148,148
H2MA091892012,22,22
H2MA092052012,8,8
H2MD011472012,168,168
H2MD021602012,244,244
H2MD021602014,122,122
H2MD022362012,238,238
H2MD031432012,52,52
H2MD042732012,70,70
H2MD051552012,1004,1004
H2MD051552014,282,282
H2MD054782012,120,120
H2MD060542012,608,608
H2MD061382014,2,2
H2MD061952012,1000,1000
H2MD061952014,548,548
H2MD081262012,790,790
H2MD081262014,196,196
H2MD081592012,220,220
H2MD081592014,2,2
H2ME011232012,142,142
H2ME020712012,636,636
H2ME020712014,36,36
H2ME020972012,400,400
H2ME021542014,4,4
H2MI031482012,166,166
H2MI031482014,2,2
H2MI051192012,112,112
H2MI051192014,146,146
H2MI051272012,6,6
H2MI060752012,190,190
H2MI060752014,2,2
H2MI070992012,8,8
H2MI111172012,316,316
H2MI111332012,28,28
H2MI111332014,12,12
H2MI121562012,8,8
H2MI141112014,43,43
H2MI170232012,164,164
H2MI170232014,30,30
H2MN021222012,378,378
H2MN021222014,406,406
H2MN030622014,114,114
H2MN030702012,234,234
H2MN041102012,20,20
H2MN051332012,68,68
H2MN061982012,748,748
H2MN061982014,14,14
H2MN070142012,80,80
H2MN070142014,136,136
H2MN081112012,526,526
H2MN081112014,562,562
H2MO021022012,548,548
H2MO021022014,386,386
H2MO021282012,16,16
H2MO040822012,468,468
H2MO062022014,9,9
H2MO070932012,5,5
H2MO070932014,21,21
H2MO080752012,30,30
H2MS010982012,90,90
H2MS011142012,8,8
H2MS011142014,14,14
H2MS021382012,17,17
H2MT000472012,930,930
H2MT010602012,1030,1030
H2MT010602014,2696,2696
H2NC010812012,114,114
H2NC010812014,198,198
H2NC021702012,118,118
H2NC030872012,26,26
H2NC051322012,96,96
H2NC060722012,50,50
H2NC070962012,1764,1764
H2NC070962014,1108,1108
H2NC081852012,348,348
H2NC081852014,262,262
H2NC082192012,1,1
H2NC082192014,6,6
H2NC090762012,928,928
H2NC090762014,2,2
H2NC091342012,580,580
H2NC091342014,54,54
H2NC110802012,650,650
